id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1265136538234417153,Tue May 26 04:23:50 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kegiatan Bhabinkamtibmas Ds.Merak - Sukamulya AIPTU IWAN BUDIMAN kerjasama dan koordinasi pengawasan,pencegahan serta sosialisasi pemberlakuan PSBB dan Edukasi Pandemi Covid 19 kepada masyarakat bersama Bpk.H.SANACA Tokoh Masyarakat.
.(26/05/2020) https://t.co/pnMyKg9l7Y",bhabinkamtibmas ds.merak sukamulya aiptu iwan budiman kerjasama koordinasi pengawasan pencegahan sosialisasi pemberlakuan psbb edukasi pandemi covid masyarakat bpk.h.sanaca tokoh masyarakat 26/05/2020,in,0,0,BalarajaHumas,False,,,,
1265136536116322304,Tue May 26 04:23:49 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @nafelton: Jadi gimana sih nasib corona di sini ini. Lockdown enggak, psbb gajelas, herd immunity bukan? Nyuruh stay home juga, ga stay…",sih nasib corona lockdown tidak psbb gajelas herd immunity bukan nyuruh stay home ga stay,in,0,39,DoniHerawan8,,,nafelton,"Bandung, Jawa Barat",
1265136528424005633,Tue May 26 04:23:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jokidz90: Ini memang bener, yg ngotot PSBB diperketat rata2 kelas menengah... 
2 kutub yg lain, mereka mayoritas dukung relaksasi....…",memang benar ngotot psbb diperketat rata2 kelas menengah ... kutub mayoritas dukung relaksasi ....,in,0,5,AriLapar,,,jokidz90,,
1265136515803426817,Tue May 26 04:23:45 +0000 2020,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","RT @kurawa: Bekasi...

Kalo menurut gue ini kurang sinkron loh pak @jokowi.
Karena jawa barat termasuk bekasi masih berstatus PSBB hingga 2…",bekasi ... sinkron loh jawa barat bekasi berstatus psbb hingga,in,0,69,enggi_engineer,,,"kurawa, jokowi",,
1265136512649228290,Tue May 26 04:23:44 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@FansRossoneri Efek pd mudik? Btw sebenarnya udh aman buat kelarin psbb dan mulai new normal blm sih?,efek mudik ngomong-ngomong udh aman kelarin psbb new normal sih,in,0,0,berhijabmerah,,,FansRossoneri,Jakarta,
1265136508035493888,Tue May 26 04:23:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JukiHoki: itu juga yang pemasukannya masih relatif aman. Sama gak punya usaha sendiri yang cukup merugi.

Ternyata golongan pendukung P…",pemasukannya relatif aman gak usaha merugi golongan pendukung p,in,0,8,jolay24,,,JukiHoki,indonesia,
1265136506806525953,Tue May 26 04:23:42 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,500,dindhani,,,ObiWan_Catnobi,,
1265136502310404098,Tue May 26 04:23:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Bersyukurlah wahai orang2 yang jam tidurnya tetep normal walaupun liburan dan psbb,bersyukurlah orang2 jam tidurnya tetep normal liburan psbb,in,0,5,bsosatrio,,,,"Jakarta Barat, DKI Jakarta",
1265136491316965377,Tue May 26 04:23:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,500,debeyeahh,,,ObiWan_Catnobi,"Malang, Jawa Timur",
1265136485335891968,Tue May 26 04:23:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,500,Negeee1,,,ObiWan_Catnobi,"Pekan Baru, Riau",
