id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1266032074001022978,Thu May 28 15:42:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @cintada17: #DisiplinProtokolNewNormal 
SEORANG PRIA MENGAMUK KEPADA SATPOL PP, SAAT MENGETAHUI ISTRINYA TERJARING SATGAS PSBB karena ti…",pria mengamuk satpol pulang pergi istrinya terjaring satgas psbb ti,in,0,71,1Spec1al,,DisiplinProtokolNewNormal,cintada17,Area Tempur,
1266032068909101056,Thu May 28 15:42:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sociotalker: dont mock political science. the difference btw indonesia and germany, for instance, in dealing with covid19 is rooted in…",dont mock political science difference ngomong-ngomong indonesia and germany for instance in dealing with covid is rooted in,en,0,32,ravellizz,,,sociotalker,,
1266032065335582720,Thu May 28 15:42:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lovenegeriku: Otak mana otak🤣🤣🤣

Di kasih PSBB katanya bikin rakyat susah,
Di kasih New Normal bilangnya bunuh diri massal 🤦
https://t.…",otak otak kasih psbb katanya bikin rakyat susah kasih new normal bilangnya bunuh massal,in,0,8,RAISYAELBIX1,,,lovenegeriku,,
1266032042724057088,Thu May 28 15:42:15 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lovenegeriku: Otak mana otak🤣🤣🤣

Di kasih PSBB katanya bikin rakyat susah,
Di kasih New Normal bilangnya bunuh diri massal 🤦
https://t.…",otak otak kasih psbb katanya bikin rakyat susah kasih new normal bilangnya bunuh massal,in,0,0,NormanAhmad6,,,lovenegeriku,"Kalimantan Utara, Indonesia",
1266032034373238785,Thu May 28 15:42:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hasil psbb menghatamkan 1buku catetan + 7bungkus kartu remi xixi,hasil psbb menghatamkan buku catetan bungkus kartu remi xixi,in,0,0,faraspc,,,,"Majalengka, Indonesia",
1266032024424349696,Thu May 28 15:42:11 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pagi pagi kepasar minggu
Pulangnya lewat cikini
Gabisa cuy masi psbb",pagi pagi kepasar pulangnya cikini gabisa cuy masi psbb,in,0,0,AriefffNH,,,,Bogor/Yogyakarta/Palembang,
1266032021622493189,Thu May 28 15:42:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@mutiaamalia Bukan berita psbb. Bukan. Tapi 2 huruf di awalnya sama sih :""(",bukan berita psbb bukan huruf sih,in,0,0,shanazcou,,,mutiaamalia,"ÜT: -6.949008,107.611953",
1266032017944334340,Thu May 28 15:42:09 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nuicemedia: All of West Java except Jakarta’s annex sub… we mean Bogor, Depok, and Bekasi, will have PSBB extended until 12 June. The t…",all of west java except jakarta s annex sub we mean bogor depok and bekasi will have psbb extended until june t,en,0,57,delia_a,,,nuicemedia,Gallifrey,
1266032010604056576,Thu May 28 15:42:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Beritasatu: PSBB Proporsional Jabar Diperpanjang Hingga 12 Juni https://t.co/jY8iZBpHSP https://t.co/zLcbsr1XWl,psbb proporsional jabar diperpanjang hingga,in,0,2,liranti,False,,Beritasatu,jakarta timur,
1266031974570881024,Thu May 28 15:41:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",psbb kpn selesai?:(,psbb selesai,in,0,0,piutostto,,,,bandung,
